method	R	N	kappa	T	mean_error	standard_error
BINARY	8	16	256	100	1.418337e-01	7.445228e-03
RANDOM_NORMAL	16	16	256	100	7.328268e-02	2.782014e-03
RANDOM_NORMAL	16	16	16	100	2.315202e-02	1.128152e-03
CONSTANT	4	16	256	100	2.917318e-01	4.735640e-03
CONSTANT	4	16	16	100	2.388031e-01	6.336416e-03
RANDOM_UNIFORM	2	16	256	100	5.292781e-01	1.346477e-02
BINARY	16	16	1	100	6.049901e-03	1.987438e-04
RANDOM_UNIFORM	8	16	1	100	1.881947e-02	4.820411e-04
RANDOM_UNIFORM	16	16	16	100	1.568710e-02	7.315201e-04
CONSTANT	2	16	1	100	2.878593e-01	2.167119e-03
RANDOM_NORMAL	8	16	1	100	1.842307e-02	1.121783e-03
RANDOM_UNIFORM	2	16	16	100	4.382487e-01	6.418245e-03
RANDOM_NORMAL	4	16	256	100	2.792895e-01	7.433659e-03
BINARY	2	16	256	100	3.292494e-01	6.061167e-03
RANDOM_UNIFORM	16	16	1	100	3.823330e-03	5.875436e-05
CONSTANT	16	16	256	100	1.638975e-01	7.119805e-03
CONSTANT	16	16	16	100	6.188879e-02	1.050902e-03
BINARY	2	16	16	100	2.772072e-01	6.647103e-03
RANDOM_UNIFORM	8	16	16	100	5.150586e-02	1.974510e-03
RANDOM_NORMAL	2	16	1	100	3.057995e-01	3.018644e-03
RANDOM_NORMAL	4	16	16	100	1.759907e-01	3.714172e-03
BINARY	4	16	256	100	1.094953e-01	3.889376e-03
BINARY	4	16	16	100	7.915938e-02	2.511725e-03
RANDOM_UNIFORM	4	16	1	100	8.606627e-02	1.167557e-03
CONSTANT	8	16	256	100	2.503550e-01	6.349919e-03
BINARY	16	16	256	100	1.484146e-01	6.318743e-03
RANDOM_UNIFORM	8	16	256	100	1.348544e-01	4.038556e-03
BINARY	4	16	1	100	4.042549e-02	4.919387e-04
CONSTANT	8	16	16	100	1.305041e-01	3.510960e-03
CONSTANT	4	16	1	100	1.398791e-01	9.117848e-04
RANDOM_NORMAL	8	16	16	100	3.792750e-02	9.408293e-04
RANDOM_NORMAL	16	16	1	100	3.246610e-03	3.720798e-05
BINARY	16	16	16	100	9.705878e-02	3.494688e-03
BINARY	8	16	16	100	4.685830e-02	1.319942e-03
BINARY	8	16	1	100	4.109076e-03	5.034087e-05
RANDOM_UNIFORM	2	16	1	100	2.670798e-01	2.936980e-03
CONSTANT	2	16	256	100	5.485565e-01	1.014446e-02
RANDOM_NORMAL	2	16	256	100	5.327991e-01	9.844244e-03
CONSTANT	2	16	16	100	4.466833e-01	6.917086e-03
RANDOM_NORMAL	4	16	1	100	8.949798e-02	1.682155e-03
CONSTANT	16	16	1	100	3.509704e-02	1.856862e-04
BINARY	2	16	1	100	1.849270e-01	1.986053e-03
RANDOM_NORMAL	2	16	16	100	4.581957e-01	1.116890e-02
RANDOM_NORMAL	8	16	256	100	1.156682e-01	5.797239e-03
RANDOM_UNIFORM	4	16	256	100	2.036317e-01	5.559206e-03
RANDOM_UNIFORM	4	16	16	100	1.567958e-01	5.565123e-03
CONSTANT	8	16	1	100	7.366243e-02	5.096239e-04
RANDOM_UNIFORM	16	16	256	100	9.508690e-02	5.347382e-03
BINARY	16	16	256	1000	1.518836e-01	7.090225e-03
RANDOM_UNIFORM	8	16	256	1000	1.489244e-01	6.388815e-03
RANDOM_UNIFORM	16	16	1	1000	2.623678e-03	7.124418e-05
BINARY	4	16	1	1000	3.836239e-02	3.365627e-04
BINARY	8	16	16	1000	1.369054e-02	7.030607e-04
CONSTANT	8	16	16	1000	1.310631e-01	2.113886e-03
CONSTANT	4	16	1	1000	1.371774e-01	7.027630e-04
RANDOM_NORMAL	8	16	16	1000	3.085983e-02	8.010929e-04
RANDOM_NORMAL	16	16	1	1000	2.325221e-03	5.225053e-05
BINARY	16	16	16	1000	5.758391e-02	1.136665e-03
BINARY	8	16	1	1000	2.282547e-03	9.889068e-06
RANDOM_UNIFORM	2	16	1	1000	2.830910e-01	3.343323e-03
CONSTANT	2	16	256	1000	5.197238e-01	7.584529e-03
RANDOM_NORMAL	2	16	256	1000	4.560158e-01	8.693418e-03
CONSTANT	2	16	16	1000	4.449219e-01	6.529464e-03
RANDOM_NORMAL	4	16	1	1000	8.726345e-02	2.919420e-03
CONSTANT	16	16	1	1000	3.551212e-02	2.749726e-04
BINARY	2	16	1	1000	1.869430e-01	1.904436e-03
RANDOM_NORMAL	2	16	16	1000	4.627373e-01	6.942639e-03
RANDOM_NORMAL	8	16	256	1000	1.114407e-01	6.462313e-03
RANDOM_UNIFORM	4	16	256	1000	2.187927e-01	6.579589e-03
RANDOM_UNIFORM	4	16	16	1000	1.434484e-01	3.273517e-03
CONSTANT	8	16	1	1000	7.064978e-02	3.519352e-04
RANDOM_UNIFORM	16	16	256	1000	1.075560e-01	4.472963e-03
RANDOM_NORMAL	16	16	256	1000	8.561516e-02	5.725363e-03
RANDOM_NORMAL	16	16	16	1000	9.235983e-03	6.049065e-04
BINARY	8	16	256	1000	6.691110e-02	2.913117e-03
CONSTANT	4	16	256	1000	3.382109e-01	9.988155e-03
RANDOM_UNIFORM	2	16	256	1000	6.053241e-01	1.212958e-02
CONSTANT	4	16	16	1000	2.217974e-01	3.898989e-03
BINARY	16	16	1	1000	2.863136e-03	1.837732e-04
RANDOM_UNIFORM	8	16	1	1000	1.419095e-02	4.326680e-04
RANDOM_UNIFORM	16	16	16	1000	8.645991e-03	3.591574e-04
CONSTANT	2	16	1	1000	2.787239e-01	1.163075e-03
RANDOM_NORMAL	8	16	1	1000	1.068786e-02	3.049172e-04
RANDOM_UNIFORM	2	16	16	1000	5.185193e-01	1.181237e-02
RANDOM_NORMAL	4	16	256	1000	2.631299e-01	9.807017e-03
BINARY	2	16	256	1000	2.770236e-01	5.080242e-03
CONSTANT	16	16	256	1000	1.151121e-01	4.103600e-03
CONSTANT	16	16	16	1000	6.196713e-02	1.295996e-03
BINARY	2	16	16	1000	3.220474e-01	6.577582e-03
RANDOM_UNIFORM	8	16	16	1000	4.136268e-02	9.952927e-04
RANDOM_NORMAL	2	16	1	1000	2.713652e-01	4.295418e-03
RANDOM_NORMAL	4	16	16	1000	2.127457e-01	5.735239e-03
BINARY	4	16	256	1000	1.486847e-01	6.877959e-03
BINARY	4	16	16	1000	8.034846e-02	1.620807e-03
RANDOM_UNIFORM	4	16	1	1000	8.041604e-02	1.925068e-03
CONSTANT	8	16	256	1000	1.972410e-01	5.968322e-03
BINARY	4	16	1	10000	3.740738e-02	3.173651e-04
RANDOM_NORMAL	8	16	256	10000	9.525371e-02	4.010074e-03
RANDOM_NORMAL	8	16	16	10000	2.763478e-02	1.024439e-03
RANDOM_UNIFORM	4	16	256	10000	2.335604e-01	5.996846e-03
RANDOM_UNIFORM	4	16	16	10000	1.639765e-01	4.508525e-03
RANDOM_NORMAL	2	16	256	10000	4.300644e-01	1.116156e-02
CONSTANT	8	16	1	10000	7.522277e-02	4.064509e-04
RANDOM_UNIFORM	16	16	256	10000	5.768193e-02	2.758815e-03
RANDOM_NORMAL	16	16	16	10000	8.081379e-03	8.082696e-04
BINARY	8	16	256	10000	5.672180e-02	2.419047e-03
CONSTANT	4	16	256	10000	3.320974e-01	8.851118e-03
BINARY	8	16	16	10000	8.953702e-03	3.943274e-04
CONSTANT	4	16	16	10000	2.586408e-01	5.122007e-03
RANDOM_UNIFORM	2	16	256	10000	6.062899e-01	1.112254e-02
BINARY	16	16	1	10000	3.800844e-04	2.037498e-05
RANDOM_UNIFORM	8	16	1	10000	1.099196e-02	2.646154e-04
RANDOM_UNIFORM	16	16	16	10000	7.709020e-03	1.781233e-04
CONSTANT	2	16	1	10000	2.845748e-01	2.354053e-03
RANDOM_UNIFORM	2	16	16	10000	4.005668e-01	6.987284e-03
RANDOM_NORMAL	4	16	256	10000	1.934722e-01	5.671957e-03
CONSTANT	16	16	256	10000	1.392683e-01	5.205381e-03
CONSTANT	16	16	16	10000	7.186929e-02	1.744776e-03
BINARY	2	16	16	10000	2.977873e-01	4.042346e-03
RANDOM_NORMAL	4	16	16	10000	2.023144e-01	5.207976e-03
BINARY	4	16	256	10000	1.464371e-01	4.807947e-03
RANDOM_NORMAL	16	16	256	10000	6.773158e-02	2.466931e-03
