method	R	N	kappa	T	mean_error	standard_error
RANDOM_NORMAL	2	128	256	10000	5.237974e-01	4.877119e-03
BINARY	8	128	256	10000	2.803816e-01	2.791476e-03
BINARY	4	128	1	10000	4.569564e-02	2.115725e-04
RANDOM_NORMAL	8	128	1	10000	2.354024e-02	1.663238e-04
RANDOM_UNIFORM	16	128	1	10000	7.257489e-03	3.910296e-05
BINARY	16	128	1	10000	6.539874e-02	3.303445e-04
RANDOM_UNIFORM	2	128	1	10000	2.909797e-01	1.527765e-03
RANDOM_NORMAL	16	128	16	10000	6.202936e-02	8.367568e-04
CONSTANT	2	128	256	10000	4.660094e-01	2.619478e-03
BINARY	8	128	16	10000	2.329301e-01	1.712270e-03
CONSTANT	2	128	16	10000	4.483595e-01	3.278450e-03
BINARY	4	128	256	10000	1.890989e-01	2.457779e-03
RANDOM_NORMAL	2	128	16	10000	4.428744e-01	4.358946e-03
BINARY	16	128	256	10000	3.143163e-01	2.782766e-03
BINARY	4	128	16	10000	1.332090e-01	1.680010e-03
RANDOM_UNIFORM	4	128	1	10000	9.037179e-02	4.869456e-04
BINARY	16	128	16	10000	2.717216e-01	2.103651e-03
CONSTANT	16	128	1	10000	3.600794e-02	9.500558e-05
BINARY	2	128	256	10000	3.086788e-01	2.339125e-03
CONSTANT	4	128	1	10000	1.431902e-01	2.948754e-04
CONSTANT	8	128	1	10000	7.149763e-02	2.095679e-04
RANDOM_NORMAL	4	128	1	10000	9.568942e-02	7.704144e-04
RANDOM_UNIFORM	16	128	256	10000	9.408192e-02	1.630599e-03
RANDOM_NORMAL	16	128	1	10000	5.720988e-03	2.172394e-05
BINARY	8	128	1	10000	4.825509e-02	2.987343e-04
RANDOM_NORMAL	8	128	256	10000	1.510395e-01	1.669718e-03
RANDOM_NORMAL	8	128	16	10000	9.670382e-02	1.501038e-03
RANDOM_UNIFORM	16	128	16	10000	5.170205e-02	6.820780e-04
RANDOM_NORMAL	2	128	1	10000	3.040699e-01	1.232266e-03
BINARY	2	128	16	10000	2.765022e-01	1.624535e-03
CONSTANT	2	128	1	10000	2.857573e-01	7.727567e-04
RANDOM_UNIFORM	2	128	16	10000	4.329792e-01	2.133064e-03
RANDOM_UNIFORM	4	128	256	10000	2.547431e-01	2.177707e-03
RANDOM_UNIFORM	4	128	16	10000	1.994513e-01	2.678495e-03
RANDOM_UNIFORM	8	128	256	10000	1.262044e-01	1.758840e-03
CONSTANT	16	128	16	10000	6.057616e-02	3.960170e-04
BINARY	2	128	1	10000	1.952142e-01	5.925993e-04
RANDOM_UNIFORM	8	128	16	10000	9.312875e-02	1.122414e-03
RANDOM_UNIFORM	2	128	256	10000	4.796131e-01	3.633344e-03
CONSTANT	4	128	256	10000	2.438088e-01	2.245858e-03
RANDOM_NORMAL	4	128	256	10000	2.661348e-01	2.443758e-03
RANDOM_NORMAL	4	128	16	10000	2.255390e-01	2.605921e-03
BINARY	16	256	1	100	8.891453e-02	2.984762e-04
CONSTANT	4	256	256	100	2.805641e-01	1.780265e-03
BINARY	4	256	1	100	7.089115e-02	2.120279e-04
RANDOM_NORMAL	4	256	256	100	2.899379e-01	1.580345e-03
RANDOM_NORMAL	4	256	16	100	2.519321e-01	9.457648e-04
RANDOM_NORMAL	8	256	256	100	2.152348e-01	1.537479e-03
RANDOM_UNIFORM	16	256	256	100	1.495976e-01	7.285890e-04
CONSTANT	4	256	16	100	2.244497e-01	9.929877e-04
RANDOM_UNIFORM	16	256	16	100	9.282206e-02	7.040650e-04
RANDOM_NORMAL	16	256	1	100	1.035916e-02	3.985437e-05
CONSTANT	8	256	256	100	1.705301e-01	1.315618e-03
RANDOM_NORMAL	8	256	16	100	1.593055e-01	1.438035e-03
CONSTANT	2	256	1	100	2.906558e-01	4.209520e-04
CONSTANT	8	256	16	100	1.274536e-01	9.573148e-04
CONSTANT	16	256	256	100	1.259959e-01	8.291485e-04
BINARY	4	256	256	100	2.603620e-01	3.008285e-03
RANDOM_UNIFORM	2	256	1	100	2.936122e-01	6.294318e-04
BINARY	2	256	1	100	1.932908e-01	4.068013e-04
RANDOM_UNIFORM	8	256	1	100	3.622803e-02	7.893002e-05
RANDOM_NORMAL	2	256	256	100	5.409886e-01	3.059884e-03
RANDOM_NORMAL	16	256	16	100	1.063167e-01	1.214878e-03
RANDOM_NORMAL	2	256	16	100	4.769206e-01	2.727239e-03
CONSTANT	16	256	16	100	7.160073e-02	6.189751e-04
BINARY	8	256	16	100	3.118854e-01	1.858699e-03
RANDOM_UNIFORM	4	256	1	100	1.059151e-01	2.653253e-04
BINARY	16	256	256	100	3.641839e-01	2.114145e-03
BINARY	16	256	16	100	3.094449e-01	1.082072e-03
BINARY	2	256	256	100	3.061689e-01	1.164882e-03
BINARY	2	256	16	100	2.787865e-01	7.804415e-04
CONSTANT	4	256	1	100	1.434034e-01	2.070919e-04
RANDOM_UNIFORM	4	256	16	100	2.352831e-01	1.873671e-03
RANDOM_NORMAL	4	256	1	100	1.104161e-01	5.977284e-04
BINARY	8	256	256	100	3.659939e-01	1.790013e-03
RANDOM_UNIFORM	16	256	1	100	1.128847e-02	3.077638e-05
RANDOM_NORMAL	16	256	256	100	1.495556e-01	1.033451e-03
BINARY	4	256	16	100	2.144490e-01	1.839674e-03
RANDOM_NORMAL	8	256	1	100	3.395705e-02	1.057074e-04
CONSTANT	2	256	256	100	4.663773e-01	1.603599e-03
CONSTANT	2	256	16	100	4.140796e-01	1.366734e-03
CONSTANT	8	256	1	100	7.182631e-02	1.915612e-04
CONSTANT	16	256	1	100	3.537340e-02	5.631492e-05
RANDOM_UNIFORM	2	256	256	100	5.037189e-01	2.441995e-03
RANDOM_UNIFORM	2	256	16	100	4.741486e-01	2.160410e-03
RANDOM_UNIFORM	8	256	256	100	1.906383e-01	1.315738e-03
RANDOM_NORMAL	2	256	1	100	2.959465e-01	5.665426e-04
BINARY	8	256	1	100	7.468624e-02	3.025751e-04
RANDOM_UNIFORM	8	256	16	100	1.385193e-01	8.255811e-04
RANDOM_UNIFORM	4	256	256	100	2.938942e-01	1.811802e-03
RANDOM_UNIFORM	4	256	1	1000	1.012032e-01	4.648077e-04
BINARY	16	256	256	1000	3.771056e-01	2.349417e-03
BINARY	16	256	16	1000	3.172523e-01	1.971884e-03
BINARY	2	256	256	1000	2.977302e-01	1.080084e-03
BINARY	2	256	16	1000	2.832020e-01	9.056693e-04
BINARY	4	256	256	1000	2.667150e-01	2.065429e-03
CONSTANT	4	256	1	1000	1.440276e-01	3.127148e-04
RANDOM_UNIFORM	4	256	16	1000	2.279498e-01	9.695223e-04
RANDOM_NORMAL	4	256	1	1000	1.054890e-01	5.953019e-04
BINARY	8	256	256	1000	3.558595e-01	1.442812e-03
RANDOM_UNIFORM	16	256	1	1000	8.701217e-03	2.146100e-05
RANDOM_NORMAL	16	256	256	1000	1.533102e-01	1.755951e-03
BINARY	4	256	16	1000	1.953524e-01	1.235615e-03
RANDOM_NORMAL	8	256	1	1000	2.999642e-02	1.128288e-04
CONSTANT	2	256	256	1000	4.615303e-01	2.257718e-03
CONSTANT	2	256	16	1000	4.061327e-01	1.975943e-03
CONSTANT	8	256	1	1000	7.146440e-02	1.112742e-04
CONSTANT	16	256	1	1000	3.591496e-02	7.701335e-05
RANDOM_UNIFORM	2	256	256	1000	4.955064e-01	1.851846e-03
RANDOM_UNIFORM	2	256	16	1000	4.625784e-01	1.989274e-03
RANDOM_UNIFORM	8	256	256	1000	1.794259e-01	1.648875e-03
RANDOM_NORMAL	2	256	1	1000	2.982633e-01	8.258378e-04
RANDOM_UNIFORM	8	256	16	1000	1.290841e-01	6.490652e-04
RANDOM_UNIFORM	4	256	256	1000	2.753586e-01	1.828525e-03
BINARY	16	256	1	1000	9.003163e-02	3.352420e-04
CONSTANT	4	256	256	1000	2.563325e-01	1.772575e-03
BINARY	4	256	1	1000	6.321096e-02	2.555906e-04
RANDOM_NORMAL	4	256	256	1000	3.154858e-01	2.189970e-03
RANDOM_NORMAL	4	256	16	1000	2.411392e-01	2.469283e-03
RANDOM_NORMAL	8	256	256	1000	1.930824e-01	1.317543e-03
RANDOM_UNIFORM	16	256	256	1000	1.209210e-01	1.486109e-03
CONSTANT	4	256	16	1000	2.302734e-01	8.675437e-04
RANDOM_UNIFORM	16	256	16	1000	6.404221e-02	6.520428e-04
RANDOM_NORMAL	16	256	1	1000	7.825613e-03	3.054422e-05
BINARY	8	256	1	1000	7.711889e-02	3.404862e-04
CONSTANT	8	256	256	1000	1.608142e-01	1.382359e-03
RANDOM_NORMAL	8	256	16	1000	1.537776e-01	1.068708e-03
CONSTANT	2	256	1	1000	2.889059e-01	6.183246e-04
CONSTANT	8	256	16	1000	1.215452e-01	7.082325e-04
CONSTANT	16	256	256	1000	1.288628e-01	1.438589e-03
RANDOM_UNIFORM	2	256	1	1000	2.856708e-01	1.181831e-03
BINARY	2	256	1	1000	1.902632e-01	5.655445e-04
RANDOM_UNIFORM	8	256	1	1000	3.089761e-02	6.309012e-05
RANDOM_NORMAL	2	256	256	1000	5.051299e-01	2.613252e-03
RANDOM_NORMAL	2	256	16	1000	4.669713e-01	2.734861e-03
RANDOM_NORMAL	16	256	16	1000	9.829751e-02	1.000331e-03
CONSTANT	16	256	16	1000	6.670274e-02	7.318451e-04
BINARY	8	256	16	1000	3.101537e-01	1.898148e-03
CONSTANT	16	256	1	10000	3.575220e-02	5.509555e-05
BINARY	2	256	256	10000	3.002280e-01	1.728279e-03
RANDOM_UNIFORM	2	256	16	10000	4.583907e-01	3.076389e-03
RANDOM_UNIFORM	8	256	256	10000	1.672112e-01	1.489937e-03
RANDOM_NORMAL	2	256	1	10000	2.978459e-01	7.734011e-04
RANDOM_UNIFORM	8	256	16	10000	1.139342e-01	6.297254e-04
RANDOM_UNIFORM	4	256	256	10000	2.787840e-01	2.016071e-03
RANDOM_UNIFORM	4	256	16	10000	2.118248e-01	1.222607e-03
BINARY	16	256	1	10000	8.569249e-02	3.011729e-04
CONSTANT	4	256	256	10000	2.636715e-01	1.339741e-03
BINARY	4	256	1	10000	5.934074e-02	2.960217e-04
RANDOM_NORMAL	4	256	256	10000	2.917210e-01	2.771776e-03
RANDOM_NORMAL	4	256	16	10000	2.350691e-01	1.497661e-03
RANDOM_NORMAL	8	256	256	10000	1.997752e-01	2.036510e-03
RANDOM_UNIFORM	16	256	256	10000	1.260959e-01	1.682493e-03
RANDOM_UNIFORM	2	256	256	10000	5.106992e-01	3.838198e-03
CONSTANT	4	256	16	10000	2.150799e-01	1.486990e-03
RANDOM_UNIFORM	16	256	16	10000	6.240043e-02	4.878878e-04
RANDOM_NORMAL	16	256	1	10000	7.393264e-03	3.064909e-05
BINARY	8	256	1	10000	7.227664e-02	1.736286e-04
RANDOM_NORMAL	8	256	16	10000	1.355744e-01	1.395644e-03
CONSTANT	2	256	1	10000	2.889524e-01	4.925574e-04
CONSTANT	8	256	16	10000	1.136874e-01	5.226030e-04
CONSTANT	16	256	256	10000	1.014504e-01	9.332758e-04
BINARY	2	256	1	10000	1.906688e-01	5.518582e-04
RANDOM_UNIFORM	8	256	1	10000	2.919704e-02	1.012140e-04
RANDOM_NORMAL	2	256	256	10000	5.166463e-01	2.692950e-03
RANDOM_NORMAL	2	256	16	10000	4.833516e-01	2.893960e-03
CONSTANT	16	256	16	10000	5.923488e-02	4.162120e-04
BINARY	8	256	16	10000	3.089820e-01	1.129578e-03
RANDOM_UNIFORM	4	256	1	10000	9.936009e-02	3.831302e-04
BINARY	16	256	16	10000	3.159425e-01	1.649034e-03
CONSTANT	8	256	256	10000	1.657632e-01	1.494682e-03
BINARY	2	256	16	10000	2.715983e-01	1.232005e-03
BINARY	4	256	256	10000	2.444635e-01	1.943894e-03
CONSTANT	4	256	1	10000	1.428232e-01	2.466252e-04
RANDOM_NORMAL	4	256	1	10000	1.028572e-01	4.835904e-04
BINARY	8	256	256	10000	3.578301e-01	1.670616e-03
RANDOM_UNIFORM	16	256	1	10000	8.378140e-03	2.524657e-05
RANDOM_UNIFORM	2	256	1	10000	2.893659e-01	7.807516e-04
RANDOM_NORMAL	16	256	256	10000	1.377522e-01	1.139338e-03
RANDOM_NORMAL	16	256	16	10000	8.152384e-02	9.117075e-04
BINARY	4	256	16	10000	1.963910e-01	1.234675e-03
RANDOM_NORMAL	8	256	1	10000	2.866425e-02	1.169073e-04
CONSTANT	2	256	256	10000	4.570513e-01	1.892570e-03
CONSTANT	2	256	16	10000	4.226408e-01	1.779069e-03
CONSTANT	8	256	1	10000	7.113481e-02	1.188560e-04
BINARY	16	256	256	10000	3.581998e-01	2.442724e-03
